role,description,required_skills
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Install, adjust, or maintain mobile electronics communication equipment, including sound, sonar, security, navigation, and surveillance systems on trains, watercraft, or other mobile equipment.","Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD, Autodesk Revit, Critical Thinking, Fluke Corporation FlukeView Forms, IBM Lotus 1-2-3, IBM Lotus Notes, Linux, Megger PowerDB, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Trimble SketchUp Pro"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Repair, test, adjust, or install electronic equipment, such as industrial controls, transmitters, and antennas.","Autodesk AutoCAD, Circuit evaluation software, Computerized maintenance management system CMMS, Critical Thinking, Database software, Email software, Equipment Maintenance, Maintenance management software, Microsoft Excel, Microsoft Office software, Microsoft Windows, Microsoft Word, Operations Monitoring, Programmable logic controller PLC software, Quality Control Analysis, Repairing, Rockwell RSLogix, SAP Maintenance, Troubleshooting"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Inspect, test, repair, or maintain electrical equipment in generating stations, substations, and in-service relays.","Autodesk AutoCAD, Critical Thinking, Equipment Maintenance, Fluke Corporation FlukeView Forms, Megger PowerDB, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Windows, Microsoft Word, OMICRON Test Universe, Repairing, Supervisory control and data acquisition SCADA software, Troubleshooting, Web browser software"
"Electronic Equipment Installers and Repairers, Motor Vehicles","Install, diagnose, or repair communications, sound, security, or navigation equipment in motor vehicles.","Critical Thinking, Harris Tech X.over Pro, Harris Technologies BassBox, Installalogy Access Client, LinearTeam WinISD, Microsoft Excel, Microsoft Internet Explorer, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, MobileToys MAIDXL, Operations Monitoring, Repairing, Troubleshooting, True Audio WinSpeakerz, WHE Term-PAK"
Audiovisual Equipment Installers and Repairers,"Install, repair, or adjust audio or television receivers, stereo systems, camcorders, video systems, or other electronic entertainment equipment in homes or other venues. May perform routine maintenance.","Audio calibration software, Global positioning system GPS software, Microsoft Excel, Microsoft Office software, Microsoft Word, Quality Control Analysis, Repairing, Troubleshooting"
Security and Fire Alarm Systems Installers,"Install, program, maintain, and repair security and fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes.","Autodesk AutoCAD, Exacq Technologies software, Microsoft Excel, Microsoft Hyperterminal, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Traceroute"
Aircraft Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems.","Access Software AIRPAX, Active Listening, CaseBank SpotLight, Complex Problem Solving, Computerized aircraft log manager CALM, Critical Thinking, DatcoMedia EBis, Disassembler software, Engine analysis software, Equipment Maintenance, Judgment and Decision Making, Maintenance information databases, Maintenance planning software, Maintenance record software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Monitoring, Mxi Technologies Maintenix, Operation and Control, Operational Data Store ODS software, Operations Monitoring, Pentagon 2000SQL, Quality Control Analysis, Reading Comprehension, Repairing, SAP software, Supply system software, Technical Data Management System TDMS, Technical manual database software, Tracware AeroTrac, Troubleshooting, Web browser software"
Automotive Body and Related Repairers,Repair and refinish automotive vehicle bodies and straighten vehicle frames.,"Accounts receivable software, Appointment scheduling software, AutoZone ALLDATA, Automotive and Accounting Software by R*KOM Invoice Writer, Collision damage estimation software, Collision damage measurement software, Equipment management information software, Materials management software, Microsoft Excel, Microsoft Office software, Microsoft OneNote, Microsoft Outlook, Microsoft Windows, Microsoft Word, Paint mixing and matching software, Swan River Estimiser Pro"
Automotive Glass Installers and Repairers,Replace or repair broken windshields and window glass in motor vehicles.,"Estimating software, Microsoft Windows, Recordkeeping software, Workday software"
Automotive Service Technicians and Mechanics,"Diagnose, adjust, repair, or overhaul automotive vehicles.","Alliance Automotive Shop Controller, Amcom AUTOS2000, Apple Safari, AutoZone ALLDATA, Blue Streak Electronics Buell Diagnostic, CODA Engine Analysis System, Critical Thinking, Database software, Estimating software, Genisys Fast Fixes, Hunter WinAlign, IBM Notes, Mainsaver Asset Management, Microsoft Edge, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Windows, Microsoft Word, Mitchell Manager Invoicing System, Mitchell OnDemand5 Manager, Mozilla Firefox, Nexiq Tech HDS Suite for Palm, Online service manual database software, Operations Monitoring, Recordkeeping software, Repairing, SAP software, Troubleshooting"
Bus and Truck Mechanics and Diesel Engine Specialists,"Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines. Includes mechanics working primarily with automobile or marine diesel engines.","Autodesk AutoCAD, Computerized maintenance management system software CMMS, Cummins INSITE, Dassault Systemes CATIA, Dassault Systemes SolidWorks, Database software, Engine diagnostic software, Fleet management software, Inventory tracking software, Microsoft Excel, Microsoft Office software, Microsoft Word, Operations Monitoring, Repairing, SAP software, Scheduling software, Shop management software, Troubleshooting"
Farm Equipment Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems.","Computerized maintenance management system CMMS, Critical Thinking, Equipment Maintenance, FarmLogic FarmPAD, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Operation and Control, Repairing, ServiceMax, Troubleshooting, Web browser software"
"Mobile Heavy Equipment Mechanics, Except Engines","Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and mining.","Database software, Equipment Maintenance, Fleet management software, Maintenance management software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Operation and Control, Operations Monitoring, Recordkeeping software, Repairing, Troubleshooting"
Rail Car Repairers,"Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars.","Adobe Acrobat, Disassembler software, Equipment Maintenance, Microsoft Excel, Microsoft Internet Explorer, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Mozilla Firefox, RailTech Software Solutions Rail 21 Management System, RailTech Software Systems Mars for the 21st Century, Repairing, Troubleshooting, WheelShop Automation.com Wheel Shop Management Suite"
Motorboat Mechanics and Service Technicians,Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.,"CDI Electronics M.E.D.S., Engine diagnostic scanners, Equipment Maintenance, Facebook, Inventory tracking software, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Operation and Control, Operations Monitoring, Outboard engine diagnostic software, Repairing, Rinda Technologies DIACOM Marine, Troubleshooting"
Motorcycle Mechanics,"Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles.","AbbottSoft QuickFix, Apple iOS, DealerTrax ShopOrder, Equipment Maintenance, Facebook, Inventory tracking software, LightSpeed Cloud, Microsoft Excel, Microsoft Office software, Microsoft Word, Repairing, Santa Maria Software Counterman Pro, TRACKUM Repair Manager, Troubleshooting"
Outdoor Power Equipment and Other Small Engine Mechanics,"Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment, and related equipment.","Equipment Maintenance, Ideal Computer Systems Ideal OPE, Land & Sea DYNO-MAX, Microsoft Excel, Microsoft Office software, RepairTRAX, Repairing, Sale processing software, Smart Equipment Repair, Troubleshooting, VersaDyne small engine test system, Web browser software"
Bicycle Repairers,Repair and service bicycles.,"Active Listening, Critical Thinking, LightSpeed Cloud, Microsoft Excel, Microsoft Outlook, Microsoft Word, Pedal Powered Software Bicycle Repair Man, RepairTRAX, Repairing, Troubleshooting, Upland Consulting Group Repair Traq, Web browser software"
